The woman was admitted to the hospital on Saturday after complaining of severe joint pains.	severe joint pains	complaining of
pains.-15	of-12	-pobj
Private organizations are also being encouraged to help fight sandstorms, according to the administration's vice-director Li Yucai.	help fight sandstorms	are also being encouraged to
help-8	encouraged-6	-xcomp
The owner put down the animal, although the vet had forbidden him to do so.	him to do so	had forbidden
him-12	forbidden-11	-dobj
In March, Uganda declared Rwanda a hostile nation because of tensions arising from Kigali's alleged support for a rival to Museveni in a presidential election.	a rival to Museveni in a presidential election	support for
in-22	support-16	-prep
In March, Uganda declared Rwanda a hostile nation because of tensions arising from Kigali's alleged support for a rival to Museveni in a presidential election.	Museveni	support for a rival to
Museveni-21	to-20	-pobj
GATUNA, Rwanda, July 6 (AFP) - President Paul Kagame of Rwanda and his Ugandan counterpart Yoweri Museveni began talks here Friday in a bid to mend soured relations between their neighbouring countries.	their neighbouring countries	soured relations between
countries.-32	between-29	-pobj
GATUNA, Rwanda, July 6 (AFP) - President Paul Kagame of Rwanda and his Ugandan counterpart Yoweri Museveni began talks here Friday in a bid to mend soured relations between their neighbouring countries.	their neighbouring countries	soured relations between
countries.-32	between-29	-pobj
The two countries have each accused the other of backing dissidents.	dissidents	backing
dissidents.-11	backing-10	-nn
The two countries have each accused the other of backing dissidents.	the other	accused the other of backing dissidents
other-8	accused-6	-dobj
The two countries have each accused the other of backing dissidents.	the other	accused the other of backing dissidents
other-8	accused-6	-dobj
The two countries have each accused the other of backing dissidents.	the other	accused the other of backing dissidents
other-8	accused-6	-dobj
The two countries have each accused the other of backing dissidents.	the other	accused the other of backing dissidents
other-8	accused-6	-dobj
The two countries have each accused the other of backing dissidents.	dissidents	backing
dissidents.-11	backing-10	-nn
Paris, July 11 (CNA) -- Taiwan's economy will become totally dependent on mainland China within the next few years, causing the island to lose control of its own political fate, a French weekly warned Thursday.	Taiwan's economy will become totally dependent on mainland China within the next few years	causing the island to lose control of its own political fate
years,-19	causing-20	-vmod
The Nouvel Observateur said that Beijing is unlikely to annex Taiwan by force, despite its deployment of missiles along its coastal provinces opposite Taiwan, but is instead resorting to smarter tactics, bringing the Taiwan authorities to heel through Taiwan businessmen who are eager to explore the mainland Chinese market.	explore the mainland Chinese market	are eager to
explore-45	eager-43	-xcomp
Lebatt said the facilitation team expected to draw up a final list of participants by August 6.	draw up a final list of participants by August 6	expected to
draw-8	expected-6	-xcomp
The young president's father Laurent, assassinated in January, had sidelined Masire after accusing him of being biased in favour of the rebels.	him	accusing him of being biased in favour of the rebels
him-14	accusing-13	-dobj
The young president's father Laurent, assassinated in January, had sidelined Masire after accusing him of being biased in favour of the rebels.	the rebels	being biased in favour of
rebels.-22	of-20	-pobj
Masire said this week he was determined to "ensure that people from all corners of the country are allowed to express their views", adding that he wanted to avoid a "superficial" exercise.	avoid a "superficial" exercise	wanted to
avoid-29	wanted-27	-xcomp
Russia favours creation of "international instruments" to regulate emissions	creation of "international instruments" to regulate emissions	favours
creation-3	favours-2	-dobj
Russia is "interested in creating international instruments for regulating emissions, which will guarantee the stable economic development of all signatories to international agreements on the climate sphere without any exceptions", the statement reads.	creating international instruments for regulating emissions	is "interested in
creating-5	in-4	-pcomp
Moscow, 16 July: The Russian Foreign Ministry has called for "taking into account Russia's specific interests" in working out international documents concerning the regulation of emissions.	taking into account Russia's specific interests" in working out international documents concerning the regulation of emissions	has called for
